Omega RDXL6SD Serial No. 002588 - Logged Data,,,,,,,,,,,
Date:,30-06-17,,,,,,,,,,
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4
9:17:43,0,82.9,81.7,80.4,80.8,1562,1562,82.5,83.6,84.3,85.9
9:17:44,1,82.9,81.7,80.4,80.8,1562,1562,82.5,83.6,84.4,86
9:17:45,2,82.9,81.7,80.3,81,1562,1562,82.5,83.5,84.3,85.9
9:17:46,3,82.7,81.8,80.4,80.8,1562,1562,82.4,83.6,84.3,86
9:17:47,4,82.7,81.7,80.3,80.8,1562,1562,82.4,83.5,84.3,85.9
9:17:48,5,82.8,81.8,80.4,80.9,1562,1562,82.5,83.5,84.3,85.9
9:17:49,6,82.8,81.8,80.4,80.8,1562,1562,82.5,83.6,84.4,86.1
9:17:50,7,82.7,81.8,80.4,80.9,1562,1562,82.5,83.6,84.3,86
9:17:51,8,82.8,81.8,80.4,80.8,1562,1562,82.4,83.6,84.4,86.1
9:17:52,9,82.8,81.9,80.3,80.9,1562,1562,82.4,83.5,84.3,86
9:17:53,10,82.8,81.8,80.4,80.9,1562,1562,82.5,83.6,84.4,86.1
9:17:54,11,82.8,81.8,80.4,80.9,1562,1562,82.5,83.6,84.4,86.1
9:17:55,12,82.8,81.8,80.4,80.9,1562,1562,82.5,83.6,84.3,86
9:17:56,13,82.8,81.8,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:17:57,14,82.9,81.8,80.5,80.9,1562,1562,82.5,83.8,84.4,86.1
9:17:58,15,82.8,81.9,80.4,80.9,1562,1562,82.5,83.6,84.3,86
9:17:59,16,82.8,81.8,80.4,80.9,1562,1562,82.5,83.6,84.3,86
9:18:00,17,82.9,81.8,80.4,81,1562,1562,82.4,83.6,84.3,85.9
9:18:01,18,82.7,81.8,80.4,80.8,1562,1562,82.5,83.6,84.4,86.1
9:18:02,19,82.7,81.9,80.3,80.9,1562,1562,82.5,83.6,84.4,86.1
9:18:03,20,82.9,81.9,80.4,80.8,1562,1562,82.6,83.8,84.4,86.1
9:18:04,21,82.9,81.8,80.3,80.9,1562,1562,82.5,83.6,84.3,86
9:18:05,22,82.8,81.8,80.3,80.9,1562,1562,82.5,83.6,84.4,86.1
9:18:06,23,82.9,81.9,80.5,80.8,1562,1562,82.5,83.6,84.3,86
9:18:07,24,82.9,81.9,80.4,80.8,1562,1562,82.5,83.6,84.4,86.1
9:18:08,25,82.8,81.8,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:09,26,82.9,81.8,80.3,80.9,1562,1562,82.5,83.6,84.4,86.1
9:18:10,27,82.9,81.8,80.3,80.8,1562,1562,82.5,83.6,84.3,86
9:18:11,28,83,81.8,80.3,80.9,1562,1562,82.5,83.6,84.3,86.1
9:18:12,29,82.9,81.8,80.4,81,1562,1562,82.5,83.6,84.4,86.1
9:18:13,30,82.9,81.8,80.4,80.8,1562,1562,82.5,83.6,84.4,86.1
9:18:14,31,82.9,81.9,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:15,32,82.9,81.8,80.4,80.9,1562,1562,82.5,83.8,84.4,86
9:18:16,33,82.9,81.8,80.4,80.9,1562,1562,82.5,83.6,84.3,86
9:18:17,34,82.9,81.8,80.4,80.9,1562,1562,82.5,83.8,84.4,86
9:18:18,35,82.9,81.9,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:19,36,82.8,81.8,80.3,80.9,1562,1562,82.4,83.6,84.3,86.1
9:18:20,37,83,81.9,80.3,80.9,1562,1562,82.5,83.8,84.4,86
9:18:21,38,83,81.8,80.3,80.9,1562,1562,82.5,83.6,84.3,86.1
9:18:22,39,82.9,81.8,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:23,40,83,81.9,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:24,41,83.1,81.8,80.3,80.9,1562,1562,82.5,83.6,84.4,86.1
9:18:25,42,83,81.8,80.3,80.8,1562,1562,82.5,83.6,84.3,86.1
9:18:26,43,83,81.8,80.3,80.8,1562,1562,82.5,83.6,84.3,86
9:18:27,44,83,81.8,80.4,80.9,1562,1562,82.5,83.6,84.4,86.1
9:18:28,45,83,81.8,80.4,80.9,1562,1562,82.6,83.6,84.3,86.1
9:18:29,46,83,81.8,80.4,80.9,1562,1562,82.5,83.6,84.3,86.1
9:18:30,47,83,81.9,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:31,48,82.9,81.8,80.4,80.8,1562,1562,82.5,83.6,84.4,86.1
9:18:32,49,83,81.8,80.3,80.9,1562,1562,82.6,83.8,84.4,86.1
9:18:33,50,83,81.9,80.5,80.9,1562,1562,82.4,83.8,84.4,86.1
9:18:34,51,83,81.9,80.4,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:35,52,83,81.8,80.3,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:36,53,83,81.9,80.4,80.9,1562,1562,82.5,83.8,84.4,86
9:18:37,54,83,81.8,80.3,80.9,1562,1562,82.5,83.6,84.4,86.1
9:18:38,55,83,81.9,80.3,80.9,1562,1562,82.5,83.8,84.4,86.1
9:18:39,56,83.1,81.8,80.3,80.8,1562,1562,82.5,83.6,84.3,86
9:18:40,57,83,81.8,80.3,80.9,1562,1562,82.5,83.6,84.3,86
9:18:41,58,83,81.8,80.3,80.9,1562,1562,82.5,83.6,84.3,86.1
9:18:42,59,83,81.9,80.3,80.8,1562,1562,82.5,83.8,84.4,86
,,,ooOoo,,,,,,,,
