Omega RDXL6SD Serial No. 002588 - Logged Data,,,,,,,,,,,
Date:,30-06-17,,,,,,,,,,
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4
12:56:26,0,83.8,83.4,88.3,85.3,1562,1562,85,86,86.6,88.2
12:56:27,1,83.8,83.5,88.4,85.3,1562,1562,85,86,86.6,88.2
12:56:28,2,83.9,83.5,88.4,85.4,1562,1562,84.9,86,86.7,88.3
12:56:29,3,83.9,83.4,88.4,85.4,1562,1562,85,86,86.7,88.4
12:56:30,4,83.9,83.5,88.4,85.4,1562,1562,85,86,86.7,88.3
12:56:31,5,83.9,83.5,88.5,85.5,1562,1562,85,86,86.7,88.4
12:56:32,6,83.9,83.4,88.4,85.5,1562,1562,85,86,86.7,88.4
12:56:33,7,83.8,83.4,88.5,85.4,1562,1562,85,86,86.7,88.4
12:56:34,8,83.9,83.4,88.6,85.5,1562,1562,84.9,86.1,86.7,88.3
12:56:35,9,83.9,83.5,88.6,85.6,1562,1562,85,86.1,86.7,88.4
12:56:36,10,83.9,83.6,88.7,85.6,1562,1562,85,86.1,86.7,88.4
12:56:37,11,83.8,83.6,88.7,85.6,1562,1562,85.1,86,86.7,88.5
12:56:38,12,84,83.5,88.7,85.8,1562,1562,85,86,86.7,88.5
12:56:39,13,83.9,83.7,88.8,85.8,1562,1562,85,86.1,86.8,88.5
12:56:40,14,83.9,83.5,88.9,85.7,1562,1562,85,86.1,86.8,88.5
12:56:41,15,83.9,83.5,88.9,85.8,1562,1562,85,86,86.7,88.5
12:56:42,16,83.9,83.5,88.9,85.7,1562,1562,85,86.1,86.7,88.4
12:56:43,17,83.9,83.6,88.9,85.8,1562,1562,85,86.1,86.8,88.4
12:56:44,18,83.9,83.6,88.9,85.7,1562,1562,85,86.1,86.8,88.4
12:56:45,19,83.9,83.6,88.9,85.7,1562,1562,85,86.1,86.7,88.4
12:56:46,20,83.9,83.4,89,85.7,1562,1562,85,86.1,86.8,88.4
12:56:47,21,83.9,83.5,89,85.8,1562,1562,85,86.1,86.8,88.5
12:56:48,22,83.8,83.7,89,85.8,1562,1562,85,86.1,86.7,88.4
12:56:49,23,83.9,83.5,89,85.8,1562,1562,85.1,86.1,86.8,88.5
12:56:50,24,83.9,83.5,89,85.7,1562,1562,85,86,86.7,88.4
12:56:51,25,83.8,83.5,89,85.8,1562,1562,85,86.1,86.7,88.4
12:56:52,26,83.8,83.5,89.1,85.9,1562,1562,85,86.1,86.8,88.5
12:56:53,27,83.8,83.6,89,85.8,1562,1562,85.1,86.1,86.8,88.5
12:56:54,28,83.9,83.5,89.1,85.7,1562,1562,85,86.1,86.8,88.5
12:56:55,29,83.8,83.7,89,85.8,1562,1562,85,86.1,86.8,88.5
12:56:56,30,83.8,83.5,89.1,85.7,1562,1562,85,86.1,86.7,88.4
12:56:57,31,83.8,83.7,89.1,85.6,1562,1562,85,86.1,86.7,88.4
