Omega RDXL6SD Serial No. 002543 - Logged Data,,,,,,,,,,,
Date:,30-06-17,,,,,,,,,,
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4
12:55:58,0,80.3,80.3,82,82.1,1562,1562,84.4,85.6,86.2,87.9
12:55:59,1,80.4,80.3,82,82.1,1562,1562,84.4,85.4,86.2,87.9
12:56:00,2,80.5,80.3,82,82.1,1562,1562,84.4,85.4,86.2,87.9
12:56:01,3,80.4,80.4,82,82.1,1562,1562,84.5,85.4,86.2,88
12:56:02,4,80.4,80.3,82,82.2,1562,1562,84.4,85.4,86.2,88
12:56:03,5,80.4,80.3,82.1,82.2,1562,1562,84.4,85.4,86.2,88
12:56:04,6,80.4,80.4,82.1,82.2,1562,1562,84.4,85.4,86.2,87.9
12:56:05,7,80.4,80.3,82.1,82.1,1562,1562,84.4,85.4,86.2,87.9
12:56:06,8,80.3,80.3,82.1,82.2,1562,1562,84.4,85.4,86.2,88
12:56:07,9,80.3,80.3,82.1,82.2,1562,1562,84.4,85.4,86.2,87.9
12:56:08,10,80.3,80.3,82.1,82.1,1562,1562,84.5,85.4,86.2,87.9
12:56:09,11,80.4,80.4,82.2,82.1,1562,1562,84.5,85.6,86.2,88
12:56:10,12,80.3,80.2,82.1,82.2,1562,1562,84.4,85.4,86.2,88
12:56:11,13,80.5,80.4,82.2,82.1,1562,1562,84.4,85.4,86.2,88
12:56:12,14,80.3,80.4,82.1,82.1,1562,1562,84.5,85.6,86.3,88
12:56:13,15,80.4,80.4,82.2,82.2,1562,1562,84.5,85.6,86.3,88
12:56:14,16,80.3,80.3,82.2,82.1,1562,1562,84.4,85.6,86.3,88
12:56:15,17,80.3,80.4,82.3,82.2,1562,1562,84.5,85.6,86.3,88
12:56:16,18,80.5,80.3,82.2,82.1,1562,1562,84.5,85.6,86.3,88
12:56:17,19,80.4,80.3,82.2,82.2,1562,1562,84.5,85.4,86.2,88
12:56:18,20,80.5,80.2,82.3,82.2,1562,1562,84.5,85.6,86.3,88
12:56:19,21,80.4,80.3,82.4,82.2,1562,1562,84.4,85.6,86.3,88
12:56:20,22,80.5,80.4,82.3,82.2,1562,1562,84.4,85.6,86.3,88
12:56:21,23,80.4,80.3,82.3,82.2,1562,1562,84.5,85.6,86.3,88
12:56:22,24,80.5,80.3,82.2,82.2,1562,1562,84.5,85.6,86.3,88
12:56:23,25,80.6,80.3,82.4,82.2,1562,1562,84.5,85.6,86.3,88
12:56:24,26,80.6,80.4,82.3,82.2,1562,1562,84.4,85.6,86.3,88
12:56:25,27,80.5,80.3,82.4,82.2,1562,1562,84.5,85.6,86.3,88
12:56:26,28,80.5,80.3,82.4,82.2,1562,1562,84.5,85.6,86.3,88
12:56:27,29,80.4,80.4,82.4,82.2,1562,1562,84.4,85.6,86.3,88
12:56:28,30,80.4,80.3,82.5,82.3,1562,1562,84.4,85.6,86.3,88
12:56:29,31,80.3,80.3,82.4,82.3,1562,1562,84.4,85.6,86.3,88.1
12:56:30,32,80.4,80.3,82.4,82.2,1562,1562,84.5,85.6,86.3,88
12:56:31,33,80.4,80.3,82.4,82.2,1562,1562,84.5,85.4,86.2,88.1
12:56:32,34,80.5,80.3,82.4,82.3,1562,1562,84.5,85.6,86.3,88
12:56:33,35,80.3,80.3,82.4,82.3,1562,1562,84.5,85.6,86.3,88.1
12:56:34,36,80.5,80.3,82.4,82.3,1562,1562,84.5,85.6,86.3,88.1
12:56:35,37,80.4,80.3,82.3,82.4,1562,1562,84.5,85.6,86.3,88.1
12:56:36,38,80.4,80.3,82.4,82.3,1562,1562,84.5,85.7,86.3,88
12:56:37,39,80.4,80.3,82.4,82.3,1562,1562,84.5,85.6,86.3,88.1
12:56:38,40,80.4,80.3,82.4,82.4,1562,1562,84.5,85.6,86.3,88.1
12:56:39,41,80.3,80.3,82.5,82.3,1562,1562,84.5,85.6,86.3,88
12:56:40,42,80.3,80.4,82.4,82.5,1562,1562,84.5,85.7,86.3,88.1
12:56:41,43,80.3,80.2,82.4,82.5,1562,1562,84.5,85.7,86.3,88.1
12:56:42,44,80.2,80.3,82.4,82.4,1562,1562,84.5,85.7,86.4,88.1
12:56:43,45,80.3,80.3,82.4,82.4,1562,1562,84.5,85.6,86.3,88.1
12:56:44,46,80.4,80.3,82.4,82.5,1562,1562,84.5,85.6,86.3,88.1
12:56:45,47,80.5,80.3,82.4,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:46,48,80.4,80.3,82.4,82.4,1562,1562,84.5,85.7,86.3,88.1
12:56:47,49,80.4,80.4,82.3,82.5,1562,1562,84.7,85.6,86.3,88.1
12:56:48,50,80.4,80.2,82.3,82.5,1562,1562,84.5,85.6,86.3,88.1
12:56:49,51,80.4,80.2,82.3,82.4,1562,1562,84.5,85.7,86.4,88.1
12:56:50,52,80.4,80.4,82.3,82.5,1562,1562,84.7,85.7,86.3,88.1
12:56:51,53,80.4,80.4,82.4,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:52,54,80.5,80.3,82.4,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:53,55,80.5,80.3,82.3,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:54,56,80.6,80.2,82.4,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:55,57,80.4,80.4,82.4,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:56,58,80.4,80.3,82.4,82.6,1562,1562,84.5,85.7,86.4,88.1
12:56:57,59,80.5,80.4,82.5,82.5,1562,1562,84.5,85.7,86.4,88.1
12:56:58,60,80.5,80.4,82.5,82.6,1562,1562,84.7,85.7,86.4,88.1
12:56:59,61,80.6,80.2,82.4,82.6,1562,1562,84.7,85.6,86.3,88.1
12:57:00,62,80.5,80.3,82.5,82.6,1562,1562,84.7,85.6,86.3,88.1
12:57:01,63,80.6,80.4,82.6,82.5,1562,1562,84.7,85.7,86.4,88.1
12:57:02,64,80.6,80.3,82.5,82.6,1562,1562,84.7,85.7,86.4,88.1
12:57:03,65,80.6,80.4,82.5,82.6,1562,1562,84.7,85.7,86.4,88.1
12:57:04,66,80.5,80.4,82.5,82.7,1562,1562,84.7,85.7,86.4,88.1
12:57:05,67,80.6,80.4,82.5,82.7,1562,1562,84.5,85.7,86.4,88.2
12:57:06,68,80.6,80.4,82.5,82.6,1562,1562,84.7,85.6,86.3,88.1
12:57:07,69,80.6,80.4,82.5,82.6,1562,1562,84.5,85.7,86.4,88.1
12:57:08,70,80.6,80.4,82.6,82.6,1562,1562,84.7,85.7,86.4,88.2
12:57:09,71,80.5,80.4,82.5,82.7,1562,1562,84.7,85.7,86.4,88.2
12:57:10,72,80.5,80.4,82.6,82.7,1562,1562,84.7,85.7,86.4,88.2
12:57:11,73,80.5,80.4,82.6,82.6,1562,1562,84.5,85.7,86.4,88.2
12:57:12,74,80.5,80.2,82.5,82.6,1562,1562,84.7,85.7,86.4,88.1
12:57:13,75,80.5,80.4,82.6,82.6,1562,1562,84.7,85.7,86.4,88.2
12:57:14,76,80.6,80.4,82.6,82.6,1562,1562,84.7,85.8,86.4,88.1
12:57:15,77,80.6,80.3,82.6,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:16,78,80.6,80.3,82.6,82.7,1562,1562,84.7,85.8,86.4,88.1
12:57:17,79,80.6,80.4,82.6,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:18,80,80.6,80.4,82.7,82.8,1562,1562,84.7,85.8,86.5,88.2
12:57:19,81,80.6,80.4,82.7,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:20,82,80.6,80.4,82.7,82.7,1562,1562,84.7,85.8,86.5,88.2
12:57:21,83,80.6,80.3,82.7,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:22,84,80.6,80.3,82.6,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:23,85,80.6,80.3,82.7,82.7,1562,1562,84.7,85.7,86.4,88.2
12:57:24,86,80.6,80.4,82.7,82.8,1562,1562,84.7,85.8,86.5,88.2
12:57:25,87,80.6,80.3,82.7,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:26,88,80.6,80.3,82.6,82.8,1562,1562,84.7,85.8,86.5,88.2
12:57:27,89,80.6,80.4,82.7,82.8,1562,1562,84.7,85.8,86.4,88.2
12:57:28,90,80.5,80.4,82.6,82.8,1562,1562,84.7,85.7,86.4,88.2
12:57:29,91,80.6,80.3,82.6,82.7,1562,1562,84.7,85.7,86.4,88.2
12:57:30,92,80.5,80.4,82.7,82.7,1562,1562,84.7,85.8,86.5,88.2
12:57:31,93,80.6,80.3,82.6,82.7,1562,1562,84.7,85.7,86.4,88.2
12:57:32,94,80.5,80.3,82.7,82.7,1562,1562,84.7,85.8,86.5,88.2
12:57:33,95,80.5,80.4,82.7,82.7,1562,1562,84.7,85.8,86.5,88.3
12:57:34,96,80.5,80.3,82.7,82.8,1562,1562,84.7,85.8,86.5,88.2
12:57:35,97,80.6,80.4,82.7,82.7,1562,1562,84.7,85.8,86.5,88.2
12:57:36,98,80.5,80.3,82.7,82.7,1562,1562,84.7,85.7,86.4,88.2
12:57:37,99,82.2,80.4,82.7,82.7,1562,1562,84.8,85.8,86.5,88.2
12:57:38,100,80.7,80.2,82.6,82.7,1562,1562,84.8,85.8,86.5,88.2
12:57:39,101,80.6,80.3,82.7,82.7,1562,1562,84.8,85.8,86.5,88.2
12:57:40,102,80.5,80.3,82.7,82.8,1562,1562,84.7,85.8,86.5,88.2
12:57:41,103,80.5,80.4,82.7,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:42,104,80.6,80.4,82.7,82.7,1562,1562,84.7,85.8,86.5,88.2
12:57:43,105,80.6,80.4,82.7,82.7,1562,1562,84.8,85.8,86.5,88.2
12:57:44,106,80.6,80.4,82.6,82.7,1562,1562,84.8,85.8,86.6,88.4
12:57:45,107,80.6,80.4,82.6,82.6,1562,1562,84.8,85.9,86.6,88.2
12:57:46,108,80.6,80.4,82.7,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:47,109,80.4,80.3,82.6,82.8,1562,1562,84.7,85.8,86.6,88.4
12:57:48,110,80.5,80.4,82.6,82.9,1562,1562,84.8,85.8,86.5,88.3
12:57:49,111,80.5,80.4,82.6,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:50,112,80.5,80.4,82.6,82.8,1562,1562,84.8,85.8,86.5,88.2
12:57:51,113,80.5,80.3,82.6,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:52,114,80.4,80.4,82.6,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:53,115,80.5,80.3,82.5,82.7,1562,1562,84.8,85.8,86.6,88.4
12:57:54,116,80.4,80.4,82.5,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:55,117,80.3,80.4,82.5,82.7,1562,1562,84.8,85.8,86.5,88.3
12:57:56,118,80.5,80.3,82.6,82.7,1562,1562,84.8,85.8,86.6,88.3
12:57:57,119,80.4,80.4,82.7,82.7,1562,1562,84.9,85.9,86.6,88.3
12:57:58,120,80.4,80.4,82.6,82.8,1562,1562,84.8,85.8,86.6,88.4
12:57:59,121,80.4,80.4,82.7,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:00,122,80.4,80.4,82.6,82.9,1562,1562,84.8,85.8,86.6,88.4
12:58:01,123,80.4,80.5,82.6,82.8,1562,1562,84.7,85.8,86.6,88.4
12:58:02,124,80.4,80.3,82.6,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:03,125,80.4,80.3,82.6,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:04,126,80.4,80.3,82.6,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:05,127,80.4,80.5,82.7,82.8,1562,1562,84.8,85.9,86.6,88.4
12:58:06,128,80.4,80.3,82.6,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:07,129,80.4,80.4,82.7,82.8,1562,1562,84.8,85.9,86.6,88.4
12:58:08,130,80.5,80.4,82.6,82.7,1562,1562,84.8,85.8,86.6,88.4
12:58:09,131,80.5,80.4,82.7,82.7,1562,1562,84.9,85.8,86.5,88.3
12:58:10,132,80.4,80.3,82.6,82.8,1562,1562,84.9,85.8,86.6,88.4
12:58:11,133,80.4,80.3,82.6,82.8,1562,1562,84.8,85.9,86.6,88.4
12:58:12,134,80.5,80.3,82.6,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:13,135,80.6,80.4,82.6,82.8,1562,1562,84.9,85.9,86.6,88.4
12:58:14,136,80.6,80.4,82.7,82.8,1562,1562,84.8,85.9,86.6,88.4
12:58:15,137,80.6,80.4,82.8,82.8,1562,1562,84.8,85.9,86.6,88.4
12:58:16,138,80.4,80.4,82.7,82.8,1562,1562,84.8,85.8,86.6,88.4
12:58:17,139,80.4,80.5,82.7,82.9,1562,1562,84.8,85.9,86.6,88.4
12:58:18,140,80.4,80.5,82.7,82.9,1562,1562,84.8,85.8,86.6,88.4
